label,x,y,score,class,year,citations,title,doi
Berthold K. P. Horn & Brian G. Schunck (1981),-3020,-3514.442,0.001,0,1981,7480,&lt;title&gt;Determining Optical Flow&lt;/title&gt;,10.1117/12.965761
Ramesh Jain et al. (1995),-1627.089,-3856.035,0.007,0,1995,1696,Machine vision,
Michael S. Lew et al. (2006),-1475.979,-3756.041,0.01,0,2006,1518,Content-based multimedia information retrieval,10.1145/1126004.1126005
Unknown (2009),-2401.284,-2630.279,0,0,2009,5558,2009 IEEE Conference on Computer Vision and Pattern Recognition,10.1109/cvpr14067.2009
Michal Irani & Bezalel Peleg (1991),-5076.897,-4025.478,0.003,0,1991,1929,Improving resolution by image registration,10.1016/1049-9652(91)90045-l
Unknown (2009),-1816.406,-576.529,0,0,2009,2804,2009 International Joint Conference on Artificial Intelligence,10.1109/jcai15434.2009
Francisco Pereira et al. (2008),1503.89,2988.789,0.046,3,2008,1656,Machine learning classifiers and fMRI: A tutorial overview,10.1016/j.neuroimage.2008.11.007
Tom M. Mitchell (1982),2029.217,1235.983,0,1,1982,1440,Generalization as search,10.1016/0004-3702(82)90040-6
Stephen Muggleton & Luc De Raedt (1994),2443.521,1074.344,0.001,1,1994,1539,Inductive Logic Programming: Theory and methods,10.1016/0743-1066(94)90035-3
J. R. Quinlan (1986),1904.14,-634.535,0.052,1,1986,12311,Induction of decision trees,10.1007/bf00116251
J. R. Quinlan (1996),2757.598,-1216.221,0.003,1,1996,1833,Improved Use of Continuous Attributes in C4.5,10.1613/jair.279
James Dougherty et al. (1995),3230.581,-716.466,0.002,1,1995,1934,Supervised and Unsupervised Discretization of Continuous Features,10.1016/b978-1-55860-377-6.50032-3
Daphne Koller & Mehran Sahami (1996),2757.744,-686.404,0.003,1,1996,1444,Toward optimal feature selection,
Kenji Kira & Larry Rendell (1992),3738.518,-1016.757,0,1,1992,1833,The feature selection problem: traditional methods and a new algorithm,
Lei Yu & Huan Liu (2003),3363.495,-1313.565,0,1,2003,2210,Feature selection for high-dimensional data: a fast correlation-based filter solution,
Yiming Yang & Jan Pedersen (1997),1960.151,405.109,0.003,1,1997,4766,A Comparative Study on Feature Selection in Text Categorization,
Grigorios Tsoumakas et al. (2009),1041.321,-516.784,0.003,1,2009,1392,Mining Multi-label Data,10.1007/978-0-387-09823-4_34
Vittorio Ferrari (2008),-1810.025,-2435.879,0.009,0,2008,10114,Libsvm : A library for support vector machines,
Seyed‐Mahdi Khaligh‐Razavi & Nikolaus Kriegeskorte (2014),-1686.622,896.092,0.02,0,2014,1343,"Deep Supervised, but Not Unsupervised, Models May Explain IT Cortical Representation",10.1371/journal.pcbi.1003915
Yoshua Bengio (2009),-3106.761,2544.765,0.049,0,2009,6845,Learning Deep Architectures for AI,10.1561/2200000006
R Devon Hjelm et al. (2018),-4523.351,3203.537,0,0,2018,1392,Learning deep representations by mutual information estimation and maximization,10.48550/arxiv.1808.06670
